order,trip_id,stop_index,stop_lat,stop_lon,gps_lat,gps_lon,gps_datetime,stop_time,dist_m,time_diff_s
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,50,-22.89495,-43.24279,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:35:44,5689.2391070071635,-2203.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,51,-22.897995,-43.241305,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:36:55,5459.9239640245505,-2274.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,52,-22.90138,-43.241176,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:37:55,5378.280214979268,-2334.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,53,-22.90591,-43.23964,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:39:08,5169.589406040686,-2407.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,54,-22.907884,-43.236917,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:39:58,4882.780823053251,-2457.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,55,-22.908756,-43.234655,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:40:30,4650.533037022399,-2489.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,56,-22.908374,-43.231002,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:41:27,4276.390484173792,-2546.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,57,-22.90931,-43.22631,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:42:48,3796.6396981904504,-2627.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,58,-22.909238,-43.222916,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:43:38,3448.920387271707,-2677.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,59,-22.906357,-43.220639,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:44:35,3224.3269646206745,-2734.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,60,-22.904907,-43.218901,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:45:21,3064.1095778736876,-2780.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,61,-22.90411,-43.21611,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:46:06,2795.3924477441883,-2825.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,62,-22.90341,-43.21449,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:46:32,2648.0288241396474,-2851.0
C51589,1a516c64-e0c1-41ab-9975-71487d6bd5a6,63,-22.902025,-43.210979,-22.908569,-43.189251,2019-01-25 08:59:01,2019-01-25 09:47:27,2341.4745883144815,-2906.0
